INSTALACAO ORIGEM;MUNICIPIO ORIGEM;UF ORIGEM;MODAL ORIGEM;INSTALACAO DESTINO;MUNICIPIO DESTINO;UF DESTINO;REDE_ORIGEM;REDE_DESTINO
BASE SECUNDARIA;ACAILANDIA;MA;FERROVIARIO;BASE SECUNDARIA;MARABA;PA;C;D
BASE SECUNDARIA;ACAILANDIA;MA;FERROVIARIO;BASE SECUNDARIA;MARABA;PA;C;D
BASE SECUNDARIA;PORTO VELHO;RO;RODOVIARIO;BASE SECUNDARIA;VILHENA;RO;C;D
BASE SECUNDARIA;SANTAREM;PA;HIDROVIARIO;BASE SECUNDARIA;ITAITUBA;PA;C;D
BASE SECUNDARIA;PORTO VELHO;RO;RODOVIARIO;BASE SECUNDARIA;SINOP;MT;C;D
BASE SECUNDARIA;PORTO VELHO;RO;RODOVIARIO;BASE SECUNDARIA;CUIABA;MT;C;D
BASE SECUNDARIA;PORTO VELHO;RO;RODOVIARIO;BASE SECUNDARIA;VARZEA GRANDE;MT;C;D
BASE SECUNDARIA;PORTO VELHO;RO;RODOVIARIO;BASE SECUNDARIA;VARZEA GRANDE;MT;C;D
BASE SECUNDARIA;PORTO VELHO;RO;RODOVIARIO;BASE SECUNDARIA;RIO BRANCO;AC;C;D
BASE SECUNDARIA;CARACARAI;RO;HIDROVIARIO;BASE SECUNDARIA;BOA VISTA;RO;C;D
BASE SECUNDARIA;CRUZEIRO DO SUL;AC;RODOVIARIO;BASE SECUNDARIA;SENADOR GUIOMARD;AC;C;D
BASE SECUNDARIA;PORTO VELHO;RO;RODOVIARIO;BASE SECUNDARIA;VARZEA GRANDE;MT;C;D
BASE SECUNDARIA;PORTO VELHO;RO;RODOVIARIO;BASE SECUNDARIA;RIO BRANCO;AC;C;D
BASE SECUNDARIA;ALTO TAQUARI;MT;FERROVIARIO;BASE SECUNDARIA;RONDONOPOLIS;MT;C;D
BASE SECUNDARIA;BAURU;SP;FERROVIARIO;BASE SECUNDARIA;PRESIDENTE PRUDENTE;SP;C;D
BASE PRIMARIA/TERMINAL;UBERABA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERLANDIA;MG;C;D
BASE PRIMARIA/TERMINAL;UBERABA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERLANDIA;MG;C;D
BASE PRIMARIA/TERMINAL;BARUERI;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO CAETANO DO SUL;SP;C;D
BASE PRIMARIA/TERMINAL;BARUERI;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO CAETANO DO SUL;SP;C;D
BASE SECUNDARIA;ALTO TAQUARI;MT;FERROVIARIO;BASE SECUNDARIA;RONDONOPOLIS;MT;C;D
BASE PRIMARIA/TERMINAL;UBERABA;MG;RODOVIARIO;BASE SECUNDARIA;PASSOS;MG;C;D
BASE PRIMARIA/TERMINAL;UBERABA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERLANDIA;MG;C;D
BASE PRIMARIA/TERMINAL;UBERABA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERLANDIA;MG;C;D
BASE PRIMARIA/TERMINAL;UBERABA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERLANDIA;MG;C;D
BASE PRIMARIA/TERMINAL;UBERABA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;UBERLANDIA;MG;C;D
BASE PRIMARIA/TERMINAL;ALTO TAQUARI;MT;FERROVIARIO;BASE SECUNDARIA;RONDONOPOLIS;MT;C;D
BASE PRIMARIA/TERMINAL;SAO CAETANO DO SUL;SP;RODOVIARIO;BASE SECUNDARIA;OURINHOS;SP;C;D
BASE PRIMARIA/TERMINAL;SAO CAETANO DO SUL;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO PAULO;SP;C;D
BASE PRIMARIA/TERMINAL;SAO PAULO;SP;RODOVIARIO;BASE SECUNDARIA;OURINHOS;SP;C;D
BASE PRIMARIA/TERMINAL;SAO CAETANO DO SUL;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO PAULO;SP;C;D
BASE PRIMARIA/TERMINAL;UBERABA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO PAULO;SP;C;D
BASE SECUNDARIA;LONDRINA;PR;FERROVIARIO;BASE SECUNDARIA;OURINHOS;SP;C;D
BASE SECUNDARIA;MARINGA;PR;FERROVIARIO;BASE SECUNDARIA;SARANDI;PR;C;D
BASE PRIMARIA/TERMINAL;GUARAMIRIM;SC;DUTOVIARIO;BASE PRIMARIA/TERMINAL;ITAJAI;SC;C;D
