,source,target,volume_m3,volume_perc,distancia
322,DIST SAO PAULO,DIST BETIM,9502.0,0.00014824692627113392,469.726499386285
323,DIST SAO PAULO,DIST SAO JOSE DOS CAMPOS,3996.0,6.234421357392666e-05,86.042067283617
324,DIST SAO PAULO,DIST BAURU,3554.0,5.544828204247632e-05,284.3867225804445
325,DIST SAO PAULO,DIST JARDINOPOLIS,3388.0,5.28584073044203e-05,302.5389657609396
326,DIST SAO PAULO,DIST FORTALEZA,2394.0,3.735036218618129e-05,2368.937908747516
327,DIST SAO PAULO,DIST SARANDI,533.0,8.315682140866595e-06,534.086863025729
328,DIST SAO PAULO,CONS SAO PAULO,,,1.0
329,DIST ARAUCARIA,DIST ARAUCARIA,4850411.0,0.0756744392655964,1.0
330,DIST ARAUCARIA,DIST LONDRINA,14920.0,0.00023277669332407051,310.28127911811737
331,DIST ARAUCARIA,DIST MARINGA,8900.0,0.00013885472993191875,351.3088724266323
332,DIST ARAUCARIA,CONS ARAUCARIA,,,1.0
333,DIST BETIM,DIST BETIM,4935177.0,0.07699692915744011,1.0
334,DIST BETIM,CONS BETIM,,,1.0
335,DIST LONDRINA,CONS LONDRINA,,,1.0
336,DIST MANAUS,DIST MANAUS,3458922.0,0.053964907883772166,1.0
337,DIST MANAUS,DIST ITACOATIARA,320985.0,0.005007897245752465,175.02935732381107
338,DIST MANAUS,CONS MANAUS,,,1.0
339,CONS MANAUS,CONS ITACOATIARA,,,175.02935732381107
340,DIST PASSO FUNDO,DIST RIO GRANDE,42068.0,0.0006563304245815683,421.0185099604633
341,DIST PASSO FUNDO,DIST CANOAS,26904.0,0.0004197469274256564,219.10071236546693
342,DIST PASSO FUNDO,DIST PASSO FUNDO,23069.0,0.0003599145803145431,1.0
343,DIST PASSO FUNDO,DIST ESTEIO,14929.0,0.0002329171082195073,213.55963954938184
344,DIST PASSO FUNDO,DIST IJUI,13973.0,0.00021800192599311243,148.6004593387
345,DIST PASSO FUNDO,CONS PASSO FUNDO,,,1.0
346,DIST TRIUNFO,DIST ESTEIO,112853.0,0.0017606935771917781,51.18076273044975
347,DIST TRIUNFO,DIST CANOAS,112247.0,0.0017512389742323688,50.32069018843153
348,DIST TRIUNFO,DIST PASSO FUNDO,56922.0,0.0008880774086724359,197.96833791669917
349,DIST TRIUNFO,DIST LAGES,34109.0,0.0005321568520503165,270.8427156549735
350,DIST TRIUNFO,DIST CASCAVEL,22824.0,0.0003560921748276532,579.1982707542282
351,DIST TRIUNFO,DIST CRUZ ALTA,14616.0,0.00022803379018931734,232.89828863739177
352,DIST TRIUNFO,DIST SANTA MARIA,12712.0,0.00019832823897691584,205.103379578654
353,DIST TRIUNFO,DIST GUARAPUAVA,6036.0,9.417158987292827e-05,505.2795200458368
354,DIST TRIUNFO,DIST RENASCENCA,4620.0,7.207964632420951e-05,437.16014425909395
355,DIST TRIUNFO,DIST TUBARAO,2960.0,4.618089894364938e-05,307.56831387473034
356,DIST TRIUNFO,DIST CORONEL BARROS,1303.0,2.0328956528234846e-05,285.9450553976114
357,DIST TRIUNFO,DIST SARANDI,979.0,1.5274020292511063e-05,721.2930253884775
358,DIST TRIUNFO,CONS TRIUNFO,,,1.0
359,DIST MONTENEGRO,CONS MONTENEGRO,,,1.0
360,DIST SAO LUIS,DIST SAO LUIS,2917036.0,0.045510589436144326,1.0
361,DIST SAO LUIS,DIST BELEM,48632.0,0.0007587396883201205,482.8083685193378
362,DIST SAO LUIS,DIST ACAILANDIA,1027.0,1.6022899734840512e-05,446.3003980956466
363,DIST SAO LUIS,DIST PEDREIRAS,126.0,1.9658085361148047e-06,228.03877691510462
364,DIST SAO LUIS,DIST GURUPI,74.0,1.1545224735912345e-06,1149.8743354718404
365,DIST SAO LUIS,CONS SAO LUIS,,,1.0
366,DIST BELEM,DIST BELEM,804345.0,0.01254911323001002,1.0
367,DIST BELEM,CONS BELEM,,,1.0
368,DIST ACAILANDIA,CONS ACAILANDIA,,,1.0
369,DIST PEDREIRAS,CONS PEDREIRAS,,,1.0
370,CONS SAO LUIS,CONS ALCANTARA,,,21.016231134567153
