Ranking;Rodovia;Sobreposições existentes;UF;Região;Município inicial;Município final;Jurisdição;Gestão;Extensão pesquisada (KM);Escalas de extensão;Classificação geral
158;BR-324;BR-116, BR-122, BR-407;BA;Nordeste;Umburanas;Feira de Santana;Federal;Pública;328;Mais de 250 km até 500 km;Regular
157;BR-365;BR-050, BR-251, BR-352, BR-354, BR-452, BR-497;MG;Sudeste;Montes Claros;Uberlândia;Federal;Pública;627;Mais de 500 km;Regular
156;BR-423;BR-110;AL;Nordeste;Ouro Branco;Delmiro Gouveia;Federal;Pública;107;Mais de 100 km até 250 km;Regular
155;BR-472;BR-468;RS;Sul;Três Passos;Santo Cristo;Federal;Pública;81;Até 100 km;Regular
154;BR-060;BR-158, BR-364;GO;Centro-Oeste;Goiânia;Jataí;Federal;Pública;411;Mais de 250 km até 500 km;Regular
153;SP-150;BR-050;SP;Sudeste;São Paulo;Santos;Estadual;Concessionada;57;Até 100 km;Regular
152;BR-226;BR-230;TO;Norte;Aguiarnópolis;Wanderlândia;Federal;Pública;71;Até 100 km;Regular
151;BR-153;BR-272;PR;Sul;Santo Antônio da Platina;Ipiranga;Federal;Pública;193;Mais de 100 km até 250 km;Regular
150;BR-467;BR-163;PR;Sul;Marechal Cândido Rondon;Cascavel;Federal;Pública;78;Até 100 km;Regular
149;BR-412;BR-110;PB;Nordeste;Boa Vista;Monteiro;Federal;Pública;147;Mais de 100 km até 250 km;Regular
148;PR-487;BR-487;PR;Sul;Campo Mourão;Nova Tebas;Estadual;Pública;84;Até 100 km;Bom
147;BR-110;BR-226, BR-427;RN;Nordeste;Areia Branca;Janduís;Federal;Pública;152;Mais de 100 km até 250 km;Bom
146;BR-262;BR-060, BR-158, BR-359;MS;Centro-Oeste;Corumbá;Três Lagoas;Federal;Pública;764;Mais de 500 km;Bom
145;BR-235;BR-122, BR-324, BR-407;BA;Nordeste;Remanso;Pedro Alexandre;Federal;Pública;600;Mais de 500 km;Bom
144;ES-080;BR-381;ES;Sudeste;São Domingos do Norte;Colatina;Estadual;Pública;55;Até 100 km;Bom
143;BR-364;-;MT;Centro-Oeste;Rondonópolis;Alto Araguaia;Federal;Pública;202;Mais de 100 km até 250 km;Bom
142;BR-010;BR-222, BR-226, BR-230;MA;Nordeste;Itinga do Maranhão;Carolina;Federal;Pública;347;Mais de 250 km até 500 km;Bom
141;BR-146;-;MG;Sudeste;Patos de Minas;Araxá;Federal;Pública;121;Mais de 100 km até 250 km;Bom
140;BR-386;BR-153;RS;Sul;Carazinho;Canoas;Federal;Concessionada;255;Mais de 250 km até 500 km;Bom
139;BR-122;BR-242, BR-330, BR-349;BA;Nordeste;Ibitiara;Seabra;Federal;Pública;73;Até 100 km;Bom
