,position,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
CONS ACAILANDIA,"(array([-47.5004]), array([-4.94714]))",,7.435,0.157,40.0,7.311,0.392
CONS CRATO,"(array([-39.4103]), array([-7.2153]))",,7.734,0.107,49.0,7.579,0.311
DIST BARRETOS,"(-48.5698, -20.5531)",,,,,,
DIST SANTA HELENA DE GOIAS,"(-50.5977, -17.8115)",,,,,,
DIST NOSSA SENHORA DAS GRACAS,"(-51.7978, -22.9129)",,,,,,
CONS PEDREIRAS,"(array([-44.6006]), array([-4.56482]))",,,,,,
DIST MOSSORO,"(-37.3474, -5.18374)",,,,,,
DIST SANTA TEREZA DE GOIAS,"(-49.0144, -13.7138)",,,,,,
DIST ITAPACI,"(-49.5511, -14.9522)",,,,,,
DIST EDEIA,"(-49.9295, -17.3406)",,,,,,
CONS GURUPI,"(array([-49.068]), array([-11.7279]))",,7.526,0.143,44.0,7.285,0.315
DIST ITUMBIARA,"(-49.2158, -18.4093)",,,,,,
DIST OURIZONA,"(-52.1964, -23.4053)",,,,,,
DIST ITUIUTABA,"(-49.4639, -18.9772)",,,,,,
CONS UMUARAMA,"(-53.3201, -23.7656)",6.0,7.096,0.121,41.0,6.926,0.357
DIST EIRUNEPE,"(-69.8662, -6.65677)",,,,,,
DIST RONDONOPOLIS,"(-54.6372, -16.4673)",,,,,,
CONS CUIABA,"(array([-56.0974]), array([-15.601]))",,6.882,0.157,315.0,7.296,0.354
DIST RIO CLARO,"(-44.1419, -22.72)",,,,,,
DIST PEDRO GOMES,"(-54.5507, -18.0996)",,,,,,
CONS CAMPO GRANDE,"(-54.6295, -20.4486)",1.0,6.852,0.174,172.0,6.95,0.32
DIST CAARAPO,"(-54.8209, -22.6368)",,,,,,
DIST PATROCINIO PAULISTA,"(-47.2801, -20.6384)",,,,,,
DIST RIO BRANCO DO SUL,"(-49.3115, -25.1892)",,,,,,
DIST JUSSARA,"(-50.8668, -15.8659)",,,,,,
DIST PALMAS DE MONTE ALTO,"(-43.1609, -14.2676)",,,,,,
DIST RIO VERDE,"(-50.9192, -17.7923)",,,,,,
DIST ARAGUAINA,"(-48.2044, -7.19238)",,,,,,
DIST ARMACAO DOS BUZIOS,"(-41.8846, -22.7528)",,,,,,
DIST CABO FRIO,"(-42.0286, -22.8894)",,,,,,
DIST QUIXADA,"(-39.0155, -4.9663)",,,,,,
DIST PIRAJU,"(-49.3803, -23.1981)",,,,,,
CONS MONTENEGRO,"(-51.4679, -29.6824)",23.0,,,,,
DIST SAO SEBASTIAO DA BOA VISTA,"(-49.5249, -1.71597)",,,,,,
DIST PRATA,"(-48.9276, -19.3086)",,,,,,
DIST ANAPOLIS,"(-48.953, -16.3281)",,,,,,
DIST TUCURUI,"(-49.6773, -3.7657)",,,,,,
DIST PIRACANJUBA,"(-49.017, -17.302)",,,,,,
DIST ANASTACIO,"(-55.8104, -20.4823)",,,,,,
DIST BREU BRANCO,"(-49.5735, -3.77191)",,,,,,
DIST CAUCAIA,"(-38.6619, -3.72797)",,,,,,
DIST PAULO RAMOS,"(-45.2398, -4.44485)",,,,,,
DIST RANCHARIA,"(-50.893, -22.2269)",,,,,,
DIST RIACHAO DAS NEVES,"(-44.9143, -11.7508)",,,,,,
DIST SAO JOSE DE RIBAMAR,"(-44.0597, -2.54704)",,,,,,
DIST CAXIAS,"(-43.3617, -4.86505)",,,,,,
CONS CAXIAS,"(array([-43.3617]), array([-4.86505]))",,7.14,0.146,35.0,7.216,0.322
DIST RAUL SOARES,"(-42.4502, -20.1061)",,,,,,
DIST SIMOES FILHO,"(-38.4029, -12.7866)",,,,,,
DIST TARABAI,"(-51.5621, -22.3016)",,,,,,
DIST ITAPARICA,"(-38.68, -12.8932)",,,,,,
DIST PALHOCA,"(-48.6697, -27.6455)",,,,,,
DIST DAMOLANDIA,"(-49.3631, -16.2544)",,,,,,
DIST BENEDITO NOVO,"(-49.3593, -26.781)",,,,,,
DIST SAO BENTO DO SUL,"(-49.3831, -26.2495)",,,,,,
DIST BOM JESUS,"(nan, nan)",,,,,,
DIST BRAZABRANTES,"(-49.3863, -16.4281)",,,,,,
DIST LEOPOLDO DE BULHOES,"(-48.7428, -16.619)",,,,,,
DIST BAIANOPOLIS,"(-44.5388, -12.3016)",,,,,,
CONS SINOP,"(-55.5091, -11.8604)",43.0,7.12,0.181,47.0,7.487,0.414
DIST FLORIDA PAULISTA,"(-51.1724, -21.6127)",,,,,,
DIST COTRIGUACU,"(-58.4192, -9.85656)",,,,,,
CONS DIONISIO CERQUEIRA,"(-53.6351, -26.2648)",4.0,,,,,
CONS SAO MIGUEL DO OESTE,"(-53.5163, -26.7242)",4.0,,,,,
CONS GUARACIABA,"(-53.5243, -26.6042)",11.0,,,,,
CONS BARRACAO,"(-53.6324, -26.2502)",10.0,,,,,
CONS TANGARA,"(-51.2473, -27.0996)",16.0,,,,,
